Month Landed,Port of Landing,Port NUTS 2 area,Port Nationality,Vessel Nationality,Length Group,Species,Species Group,Sum of Live weight (tonnes),Sum of Landed weight (tonnes),Sum of Value(£),
2,Mylor,Cornwall and Isles of Scilly,England,UK,Over10m,Pollack (Lythe),Demersal,3.9245,3.5435,11.91363,
2,Mylor,Cornwall and Isles of Scilly,England,UK,Over10m,Saithe,Demersal,0.0212,0.018,0.03305,
2,Nairn,Highlands and Islands,Scotland,UK,10m&Under,Lobsters,Shellfish,0.0165,0.0165,0.33471,
2,New Quay,West Wales and the Valleys,Wales,UK,10m&Under,Crabs,Shellfish,0.063,0.063,0.945,
2,New Quay,West Wales and the Valleys,Wales,UK,10m&Under,Whelks,Shellfish,0.397,0.397,0.5161,
2,Newhaven,"Surrey, East and West Sussex",England,UK,10m&Under,Brill,Demersal,0.0014,0.0014,0.0089,
2,Newhaven,"Surrey, East and West Sussex",England,UK,10m&Under,Cod,Demersal,0.1674,0.1438,0.50187,
2,Newhaven,"Surrey, East and West Sussex",England,UK,10m&Under,Crabs,Shellfish,0.0064,0.0064,0.00595,
2,Newhaven,"Surrey, East and West Sussex",England,UK,10m&Under,Cuttlefish,Shellfish,0.0026,0.0026,0.0052,
2,Newhaven,"Surrey, East and West Sussex",England,UK,10m&Under,Dogfish,Demersal,0.9467,0.9467,0.23826,
2,Newhaven,"Surrey, East and West Sussex",England,UK,10m&Under,Gurnard,Demersal,0.1493,0.1493,0.29172,
2,Newhaven,"Surrey, East and West Sussex",England,UK,10m&Under,Herring,Pelagic,0.0005,0.0005,0.0005,
2,Newhaven,"Surrey, East and West Sussex",England,UK,10m&Under,Lemon Sole,Demersal,0.0511,0.0489,0.1966,
2,Newhaven,"Surrey, East and West Sussex",England,UK,10m&Under,Mullet,Demersal,0.0036,0.0036,0.01188,
2,Newhaven,"Surrey, East and West Sussex",England,UK,10m&Under,Other Demersal,Demersal,0.1017,0.086,0.06371,
2,Newhaven,"Surrey, East and West Sussex",England,UK,10m&Under,Plaice,Demersal,0.6648,0.634,0.72863,
2,Newhaven,"Surrey, East and West Sussex",England,UK,10m&Under,Pollack (Lythe),Demersal,0.0026,0.0023,0.00318,
2,Newhaven,"Surrey, East and West Sussex",England,UK,10m&Under,Scallops,Shellfish,0.0003,0.0003,0.00062,
2,Newhaven,"Surrey, East and West Sussex",England,UK,10m&Under,Skates and Rays,Demersal,0.7647,0.6515,0.94049,
2,Newhaven,"Surrey, East and West Sussex",England,UK,10m&Under,Sole,Demersal,0.1691,0.163,2.01822,
2,Newhaven,"Surrey, East and West Sussex",England,UK,10m&Under,Squid,Shellfish,0.0303,0.0303,0.229,
2,Newhaven,"Surrey, East and West Sussex",England,UK,10m&Under,Turbot,Demersal,0.0197,0.0183,0.25218,
2,Newhaven,"Surrey, East and West Sussex",England,UK,10m&Under,Whelks,Shellfish,2.191,2.191,2.6292,
2,Newhaven,"Surrey, East and West Sussex",England,UK,10m&Under,Whiting,Demersal,0.529,0.4491,0.24042,
2,Newhaven,"Surrey, East and West Sussex",England,UK,Over10m,Bream,Demersal,0.0077,0.0077,0.02765,
2,Newhaven,"Surrey, East and West Sussex",England,UK,Over10m,Brill,Demersal,0.0127,0.0119,0.07534,
2,Newhaven,"Surrey, East and West Sussex",England,UK,Over10m,Cod,Demersal,0.0779,0.067,0.23969,
2,Newhaven,"Surrey, East and West Sussex",England,UK,Over10m,Crabs,Shellfish,0.0009,0.0009,0.00084,
2,Newhaven,"Surrey, East and West Sussex",England,UK,Over10m,Cuttlefish,Shellfish,0.0084,0.0084,0.02911,
2,Newhaven,"Surrey, East and West Sussex",England,UK,Over10m,Dogfish,Demersal,0.931,0.931,0.25795,
2,Newhaven,"Surrey, East and West Sussex",England,UK,Over10m,Gurnard,Demersal,0.4173,0.4173,0.83781,
2,Newhaven,"Surrey, East and West Sussex",England,UK,Over10m,Herring,Pelagic,0.0002,0.0002,0.0002,
2,Newhaven,"Surrey, East and West Sussex",England,UK,Over10m,Horse Mackerel,Pelagic,0.0002,0.0002,0.00025,
2,Newhaven,"Surrey, East and West Sussex",England,UK,Over10m,Lemon Sole,Demersal,0.1788,0.1705,0.65282,
2,Newhaven,"Surrey, East and West Sussex",England,UK,Over10m,Monks or Anglers,Demersal,0.3642,0.1294,1.285,
2,Newhaven,"Surrey, East and West Sussex",England,UK,Over10m,Mullet,Demersal,0.0038,0.0038,0.02001,
2,Newhaven,"Surrey, East and West Sussex",England,UK,Over10m,Other Demersal,Demersal,0.1325,0.1155,0.06512,
2,Newhaven,"Surrey, East and West Sussex",England,UK,Over10m,Plaice,Demersal,0.3569,0.3402,0.42279,
2,Newhaven,"Surrey, East and West Sussex",England,UK,Over10m,Scallops,Shellfish,3.501,3.501,7.2475,
2,Newhaven,"Surrey, East and West Sussex",England,UK,Over10m,Skates and Rays,Demersal,0.3251,0.2716,0.38792,
2,Newhaven,"Surrey, East and West Sussex",England,UK,Over10m,Sole,Demersal,0.2294,0.2207,3.09667,
2,Newhaven,"Surrey, East and West Sussex",England,UK,Over10m,Squid,Shellfish,0.1859,0.1859,0.07855,
2,Newhaven,"Surrey, East and West Sussex",England,UK,Over10m,Turbot,Demersal,0.0211,0.0194,0.2894,
2,Newhaven,"Surrey, East and West Sussex",England,UK,Over10m,Whelks,Shellfish,0.0015,0.0015,0.0018,
2,Newhaven,"Surrey, East and West Sussex",England,UK,Over10m,Whiting,Demersal,0.4606,0.3927,0.21588,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,10m&Under,Bream,Demersal,0.005,0.0045,0.0338,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,10m&Under,Brill,Demersal,0.029,0.0268,0.21005,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,10m&Under,Cod,Demersal,0.2928,0.393,1.36434,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,10m&Under,Crabs,Shellfish,0.2165,0.2165,0.49193,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,10m&Under,Cuttlefish,Shellfish,0.0195,0.0195,0.03965,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,10m&Under,Dogfish,Demersal,0.272,0.272,0.1088,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,10m&Under,Gurnard,Demersal,0.1929,0.1929,0.09126,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,10m&Under,Haddock,Demersal,0.097,0.0835,0.14551,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,10m&Under,Herring,Pelagic,0.015,0.015,0.03,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,10m&Under,Lemon Sole,Demersal,0.0436,0.0416,0.12745,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,10m&Under,Ling,Demersal,0.1301,0.1146,0.2325,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,10m&Under,Lobsters,Shellfish,0.0276,0.0276,0.6504,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,10m&Under,Mackerel,Pelagic,20.6807,20.6807,20.51828,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,10m&Under,Megrim,Demersal,0.0147,0.014,0.0291,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,10m&Under,Monks or Anglers,Demersal,0.0422,0.0141,0.1274,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,10m&Under,Mullet,Demersal,0.0035,0.0035,0.0063,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,10m&Under,Other Demersal,Demersal,1.3102,1.2916,1.69907,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,10m&Under,Other Shellfish,Shellfish,0.0042,0.0042,0.1078,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,10m&Under,Plaice,Demersal,0.1105,0.1054,0.18503,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,10m&Under,Pollack (Lythe),Demersal,10.0394,8.5887,23.31151,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,10m&Under,Saithe,Demersal,0.0775,0.0657,0.1008,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,10m&Under,Sardines,Pelagic,17.601,17.601,3.56076,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,10m&Under,Skates and Rays,Demersal,1.4428,0.8644,1.84008,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,10m&Under,Sole,Demersal,0.0752,0.0725,0.84118,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,10m&Under,Squid,Shellfish,0.0048,0.0048,0.0242,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,10m&Under,Turbot,Demersal,0.0152,0.0141,0.1489,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,10m&Under,Whiting,Demersal,0.1077,0.0917,0.07496,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,10m&Under,Witch,Demersal,0.0021,0.002,0.002,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,Over10m,Bass,Demersal,0.1117,0.1108,0.77143,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,Over10m,Bream,Demersal,0.0216,0.0252,0.05553,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,Over10m,Brill,Demersal,1.7821,1.6362,15.85994,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,Over10m,Cod,Demersal,1.3121,1.1267,4.78583,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,Over10m,Crabs,Shellfish,7.2335,7.1006,18.60526,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,Over10m,Cuttlefish,Shellfish,88.2641,88.2641,182.66588,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,Over10m,Dogfish,Demersal,10.7949,9.9012,10.45872,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,Over10m,Gurnard,Demersal,9.0348,9.0323,11.70228,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,Over10m,Haddock,Demersal,44.0029,37.6092,95.77785,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,Over10m,Hake,Demersal,118.8016,107.0046,395.48629,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,Over10m,Horse Mackerel,Pelagic,0,0.0399,0,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,Over10m,Lemon Sole,Demersal,9.6875,9.2263,68.01889,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,Over10m,Ling,Demersal,4.4878,3.9383,8.98881,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,Over10m,Lobsters,Shellfish,0.8891,0.8891,17.04326,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,Over10m,Mackerel,Pelagic,1.014,1.0149,1.01627,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,Over10m,Megrim,Demersal,16.1599,15.354,45.13327,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,Over10m,Monks or Anglers,Demersal,65.892,31.9082,187.60844,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,Over10m,Mullet,Demersal,1.4979,1.4979,5.25348,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,Over10m,Other Demersal,Demersal,15.1638,14.8965,11.23116,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,Over10m,Other Pelagic,Pelagic,0.01,0.01,0,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,Over10m,Other Shellfish,Shellfish,8.8749,8.8749,18.1036935,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,Over10m,Plaice,Demersal,8.8222,8.4028,19.7633,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,Over10m,Pollack (Lythe),Demersal,71.9367,61.4849,217.31243,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,Over10m,Saithe,Demersal,2.7006,2.2702,4.63446,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,Over10m,Sardines,Pelagic,173.102,173.102,33.91217,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,Over10m,Scallops,Shellfish,3.9289,3.9289,9.89225,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,Over10m,Skates and Rays,Demersal,6.5722,4.7769,7.78067,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,Over10m,Sole,Demersal,10.7643,10.3425,144.89267,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,Over10m,Squid,Shellfish,0.3855,0.3855,2.75051,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,Over10m,Turbot,Demersal,1.2742,1.1697,16.75792,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,Over10m,Whiting,Demersal,5.1129,4.3564,9.30991,
2,Newlyn,Cornwall and Isles of Scilly,England,UK,Over10m,Witch,Demersal,0.301,0.2839,0.65713,
2,Newquay,Cornwall and Isles of Scilly,England,UK,10m&Under,Cod,Demersal,0.0139,0.0119,0.03021,
2,Newquay,Cornwall and Isles of Scilly,England,UK,10m&Under,Crabs,Shellfish,0.718,0.718,1.5763,
2,Newquay,Cornwall and Isles of Scilly,England,UK,10m&Under,Haddock,Demersal,0.0037,0.0032,0.00826,
2,Newquay,Cornwall and Isles of Scilly,England,UK,10m&Under,Ling,Demersal,0.0028,0.0025,0.00345,
2,Newquay,Cornwall and Isles of Scilly,England,UK,10m&Under,Lobsters,Shellfish,0.3757,0.3757,7.4976,
2,Newquay,Cornwall and Isles of Scilly,England,UK,10m&Under,Other Demersal,Demersal,0.3872,0.3872,0.46418,
2,Newquay,Cornwall and Isles of Scilly,England,UK,10m&Under,Other Shellfish,Shellfish,0.0007,0.0007,0.0203,
2,Newquay,Cornwall and Isles of Scilly,England,UK,10m&Under,Pollack (Lythe),Demersal,0.0655,0.0554,0.09792,
2,Newquay,Cornwall and Isles of Scilly,England,UK,10m&Under,Skates and Rays,Demersal,0.0253,0.0122,0.04429,
2,Newquay,Cornwall and Isles of Scilly,England,UK,10m&Under,Sole,Demersal,0.0071,0.0069,0.10994,
2,Neyland,West Wales and the Valleys,Wales,UK,10m&Under,Other Shellfish,Shellfish,0.531,0.531,0.7686,
2,Neyland,West Wales and the Valleys,Wales,UK,10m&Under,Whelks,Shellfish,3.445,3.445,4.65075,
2,North Harris,Highlands and Islands,Scotland,UK,10m&Under,Scallops,Shellfish,0.144,0.144,0.5976,
2,North Lochs,Highlands and Islands,Scotland,UK,10m&Under,Crabs,Shellfish,0.442,0.442,1.07885,
2,North Lochs,Highlands and Islands,Scotland,UK,10m&Under,Lobsters,Shellfish,0.0424,0.0424,0.8313,
2,North Lochs,Highlands and Islands,Scotland,UK,10m&Under,Nephrops,Shellfish,0.0443,0.0443,0.51079,
2,North Lochs,Highlands and Islands,Scotland,UK,10m&Under,Scallops,Shellfish,0.624,0.624,2.5896,
2,North Roe to Hillswick,Highlands and Islands,Scotland,UK,10m&Under,Crabs,Shellfish,0.128,0.128,0.35368,
2,North Roe to Hillswick,Highlands and Islands,Scotland,UK,10m&Under,Lobsters,Shellfish,0.005,0.005,0.09859,
2,North Shields,Northumberland and Tyne and Wear,England,Netherlands,Over10m,Gurnard,Demersal,0.01,0.01,0.0167,
2,North Shields,Northumberland and Tyne and Wear,England,Netherlands,Over10m,Lemon Sole,Demersal,0.0126,0.012,0.01836,
2,North Shields,Northumberland and Tyne and Wear,England,Netherlands,Over10m,Monks or Anglers,Demersal,0.2702,0.2345,0.7779,
2,North Shields,Northumberland and Tyne and Wear,England,Netherlands,Over10m,Nephrops,Shellfish,1.8146,1.3708,5.52235,
2,North Shields,Northumberland and Tyne and Wear,England,Netherlands,Over10m,Plaice,Demersal,0.0262,0.025,0.0259,
2,North Shields,Northumberland and Tyne and Wear,England,UK,10m&Under,Brill,Demersal,0.0392,0.0369,0.16835,
2,North Shields,Northumberland and Tyne and Wear,England,UK,10m&Under,Cod,Demersal,0.1877,0.1605,0.324,
2,North Shields,Northumberland and Tyne and Wear,England,UK,10m&Under,Gurnard,Demersal,0.0055,0.0055,0.003,
2,North Shields,Northumberland and Tyne and Wear,England,UK,10m&Under,Haddock,Demersal,0.0104,0.0092,0.012,
2,North Shields,Northumberland and Tyne and Wear,England,UK,10m&Under,Hake,Demersal,0.0027,0.0025,0.002,
2,North Shields,Northumberland and Tyne and Wear,England,UK,10m&Under,Halibut,Demersal,0.0525,0.0487,0.59,
2,North Shields,Northumberland and Tyne and Wear,England,UK,10m&Under,Lemon Sole,Demersal,0.0281,0.0275,0.042,
2,North Shields,Northumberland and Tyne and Wear,England,UK,10m&Under,Ling,Demersal,0.0139,0.0122,0.019,
2,North Shields,Northumberland and Tyne and Wear,England,UK,10m&Under,Lobsters,Shellfish,0.001,0.001,0.019,
2,North Shields,Northumberland and Tyne and Wear,England,UK,10m&Under,Monks or Anglers,Demersal,0.4121,0.3401,0.822,
2,North Shields,Northumberland and Tyne and Wear,England,UK,10m&Under,Mullet,Demersal,0.0099,0.0092,0.02,
2,North Shields,Northumberland and Tyne and Wear,England,UK,10m&Under,Nephrops,Shellfish,37.2293,23.8803,104.98711,
2,North Shields,Northumberland and Tyne and Wear,England,UK,10m&Under,Other Demersal,Demersal,0.0042,0.004,0.005,
2,North Shields,Northumberland and Tyne and Wear,England,UK,10m&Under,Other Pelagic,Pelagic,0.0035,0.0035,0.007,
2,North Shields,Northumberland and Tyne and Wear,England,UK,10m&Under,Other Shellfish,Shellfish,0.009,0.009,0.009,
2,North Shields,Northumberland and Tyne and Wear,England,UK,10m&Under,Plaice,Demersal,0.0211,0.0204,0.019,
2,North Shields,Northumberland and Tyne and Wear,England,UK,10m&Under,Skates and Rays,Demersal,0.0321,0.0287,0.03,
2,North Shields,Northumberland and Tyne and Wear,England,UK,10m&Under,Sole,Demersal,0.0314,0.0308,0.116,
2,North Shields,Northumberland and Tyne and Wear,England,UK,10m&Under,Squid,Shellfish,0.0737,0.0737,0.27,
2,North Shields,Northumberland and Tyne and Wear,England,UK,10m&Under,Turbot,Demersal,0.2194,0.2036,1.4368,
2,North Shields,Northumberland and Tyne and Wear,England,UK,10m&Under,Whiting,Demersal,0.5513,0.551,0.364,
2,North Shields,Northumberland and Tyne and Wear,England,UK,10m&Under,Witch,Demersal,0.0074,0.0072,0.008,
2,North Shields,Northumberland and Tyne and Wear,England,UK,Over10m,Brill,Demersal,0.0991,0.0912,0.43791,
2,North Shields,Northumberland and Tyne and Wear,England,UK,Over10m,Cod,Demersal,0.5444,0.4755,1.03725,
2,North Shields,Northumberland and Tyne and Wear,England,UK,Over10m,Crabs,Shellfish,0.6262,0.6262,1.27681,
2,North Shields,Northumberland and Tyne and Wear,England,UK,Over10m,Gurnard,Demersal,1.1214,1.1213,0.56324,
2,North Shields,Northumberland and Tyne and Wear,England,UK,Over10m,Haddock,Demersal,1.0993,0.9443,0.60873,
2,North Shields,Northumberland and Tyne and Wear,England,UK,Over10m,Hake,Demersal,0.0192,0.0179,0.03727,
2,North Shields,Northumberland and Tyne and Wear,England,UK,Over10m,Halibut,Demersal,0.2502,0.2339,2.45738,
2,North Shields,Northumberland and Tyne and Wear,England,UK,Over10m,Lemon Sole,Demersal,0.2121,0.2043,0.32416,
2,North Shields,Northumberland and Tyne and Wear,England,UK,Over10m,Ling,Demersal,0.0173,0.015,0.02073,
2,North Shields,Northumberland and Tyne and Wear,England,UK,Over10m,Lobsters,Shellfish,0.0234,0.0234,0.45133,
2,North Shields,Northumberland and Tyne and Wear,England,UK,Over10m,Megrim,Demersal,0.0008,0.0008,0,
2,North Shields,Northumberland and Tyne and Wear,England,UK,Over10m,Monks or Anglers,Demersal,3.6552,3.1146,8.17456,
2,North Shields,Northumberland and Tyne and Wear,England,UK,Over10m,Mullet,Demersal,0.2106,0.2019,0.29608,
2,North Shields,Northumberland and Tyne and Wear,England,UK,Over10m,Nephrops,Shellfish,171.4077,104.2557,462.86882,
2,North Shields,Northumberland and Tyne and Wear,England,UK,Over10m,Other Demersal,Demersal,2.2222,2.2125,0.66577,
2,North Shields,Northumberland and Tyne and Wear,England,UK,Over10m,Other Pelagic,Pelagic,0.0381,0.0381,0.05077,
2,North Shields,Northumberland and Tyne and Wear,England,UK,Over10m,Other Shellfish,Shellfish,0.1292,0.1292,0.09858,
2,North Shields,Northumberland and Tyne and Wear,England,UK,Over10m,Plaice,Demersal,1.0432,0.9975,1.0316,
2,North Shields,Northumberland and Tyne and Wear,England,UK,Over10m,Skates and Rays,Demersal,0.1036,0.0933,0.10165,
2,North Shields,Northumberland and Tyne and Wear,England,UK,Over10m,Sole,Demersal,0.0747,0.0731,0.25957,
2,North Shields,Northumberland and Tyne and Wear,England,UK,Over10m,Squid,Shellfish,0.9439,0.9439,2.54983,
2,North Shields,Northumberland and Tyne and Wear,England,UK,Over10m,Turbot,Demersal,0.7269,0.6804,4.94702,
2,North Shields,Northumberland and Tyne and Wear,England,UK,Over10m,Whiting,Demersal,3.4043,3.3647,2.74703,
2,North Shields,Northumberland and Tyne and Wear,England,UK,Over10m,Witch,Demersal,0.0898,0.0852,0.10107,
2,North Uist,Highlands and Islands,Scotland,UK,10m&Under,Crabs,Shellfish,0.42,0.42,1.16615,
2,North Uist,Highlands and Islands,Scotland,UK,10m&Under,Lobsters,Shellfish,0.0308,0.0308,0.65207,
2,Northbay,Highlands and Islands,Scotland,UK,10m&Under,Crabs,Shellfish,0.36,0.36,1.0026,
2,Northbay,Highlands and Islands,Scotland,UK,10m&Under,Lobsters,Shellfish,0.0257,0.0257,0.51185,
2,Northbay,Highlands and Islands,Scotland,UK,Over10m,Haddock,Demersal,0.1136,0.0971,0.1181,
2,Northbay,Highlands and Islands,Scotland,UK,Over10m,Megrim,Demersal,0.018,0.017,0.0204,
2,Northbay,Highlands and Islands,Scotland,UK,Over10m,Monks or Anglers,Demersal,0.1623,0.133,0.37257,
2,Northbay,Highlands and Islands,Scotland,UK,Over10m,Nephrops,Shellfish,2.63,1.6533,9.16714,
2,Northbay,Highlands and Islands,Scotland,UK,Over10m,Scallops,Shellfish,0.675,0.675,1.4445,
2,Northbay,Highlands and Islands,Scotland,UK,Over10m,Skates and Rays,Demersal,1.5298,1.3538,1.21694,
2,Northbay,Highlands and Islands,Scotland,UK,Over10m,Squid,Shellfish,0.004,0.004,0.0068,
2,Northbay,Highlands and Islands,Scotland,UK,Over10m,Turbot,Demersal,0.0082,0.0075,0.0457,
2,Northbay,Highlands and Islands,Scotland,UK,Over10m,Witch,Demersal,0.078,0.0735,0.05885,
2,Oban,Highlands and Islands,Scotland,UK,10m&Under,Crabs,Shellfish,1.6615,1.6615,2.40412,
2,Oban,Highlands and Islands,Scotland,UK,10m&Under,Lobsters,Shellfish,0.0451,0.0451,0.671,
2,Oban,Highlands and Islands,Scotland,UK,10m&Under,Nephrops,Shellfish,1.7887,1.7087,18.05699,
2,Oban,Highlands and Islands,Scotland,UK,10m&Under,Scallops,Shellfish,3.5341,3.5341,12.93989,
2,Oban,Highlands and Islands,Scotland,UK,Over10m,Crabs,Shellfish,8.4566,8.4566,15.52525,
2,Oban,Highlands and Islands,Scotland,UK,Over10m,Lobsters,Shellfish,0.1539,0.1539,2.438,
2,Oban,Highlands and Islands,Scotland,UK,Over10m,Nephrops,Shellfish,2.1403,2.1403,23.51454,
2,Oban,Highlands and Islands,Scotland,UK,Over10m,Scallops,Shellfish,44.9017,44.8374,111.15815,
2,Oostende,Foreign,Belgium,UK,Over10m,Cod,Demersal,0.0525,0.0449,0.1229,
2,Oostende,Foreign,Belgium,UK,Over10m,Cuttlefish,Shellfish,0.0049,0.0049,0.0114,
2,Oostende,Foreign,Belgium,UK,Over10m,Gurnard,Demersal,1.153,1.153,1.1262,
2,Oostende,Foreign,Belgium,UK,Over10m,Horse Mackerel,Pelagic,0.01,0.01,0.0065,
2,Oostende,Foreign,Belgium,UK,Over10m,Lemon Sole,Demersal,0.0072,0.0069,0.0148,
2,Oostende,Foreign,Belgium,UK,Over10m,Mackerel,Pelagic,0.044,0.0459,0.044,
2,Oostende,Foreign,Belgium,UK,Over10m,Mullet,Demersal,0.311,0.311,0.4535,
2,Oostende,Foreign,Belgium,UK,Over10m,Other Demersal,Demersal,0.2702,0.2599,0.1691,
2,Oostende,Foreign,Belgium,UK,Over10m,Plaice,Demersal,0.0147,0.014,0.014,
2,Oostende,Foreign,Belgium,UK,Over10m,Skates and Rays,Demersal,0.0022,0.002,0.002,
2,Oostende,Foreign,Belgium,UK,Over10m,Sole,Demersal,0.001,0.001,0.001,
2,Oostende,Foreign,Belgium,UK,Over10m,Squid,Shellfish,2.9279,2.9279,13.36266,
2,Oostende,Foreign,Belgium,UK,Over10m,Whiting,Demersal,1.3617,1.154,1.154,
2,Out Skerries,Highlands and Islands,Scotland,UK,Over10m,Scallops,Shellfish,6.875,6.875,15.56771,
2,Padstow,Cornwall and Isles of Scilly,England,UK,10m&Under,Cod,Demersal,0.0064,0.0055,0.022,
2,Padstow,Cornwall and Isles of Scilly,England,UK,10m&Under,Ling,Demersal,0.074,0.065,0.13,
2,Padstow,Cornwall and Isles of Scilly,England,UK,10m&Under,Lobsters,Shellfish,0.0015,0.0015,0.03579,
2,Padstow,Cornwall and Isles of Scilly,England,UK,10m&Under,Pollack (Lythe),Demersal,6.1096,5.222,11.5432,
2,Padstow,Cornwall and Isles of Scilly,England,UK,10m&Under,Saithe,Demersal,0.038,0.032,0.052,
2,Padstow,Cornwall and Isles of Scilly,England,UK,Over10m,Brill,Demersal,0.0131,0.0134,0.13595,
2,Padstow,Cornwall and Isles of Scilly,England,UK,Over10m,Cod,Demersal,0.0155,0.0133,0.05482,
2,Padstow,Cornwall and Isles of Scilly,England,UK,Over10m,Crabs,Shellfish,1.1837,1.1837,2.67376,
2,Padstow,Cornwall and Isles of Scilly,England,UK,Over10m,Dogfish,Demersal,0.108,0.108,0.0216,
2,Padstow,Cornwall and Isles of Scilly,England,UK,Over10m,Gurnard,Demersal,0.0304,0.0304,0.03141,
2,Padstow,Cornwall and Isles of Scilly,England,UK,Over10m,Haddock,Demersal,0.0018,0.0016,0.00379,
2,Padstow,Cornwall and Isles of Scilly,England,UK,Over10m,Lemon Sole,Demersal,0.2018,0.1922,0.68494,
2,Padstow,Cornwall and Isles of Scilly,England,UK,Over10m,Lobsters,Shellfish,0.3318,0.3318,6.12133,
2,Padstow,Cornwall and Isles of Scilly,England,UK,Over10m,Megrim,Demersal,0.0086,0.0082,0.02975,
2,Padstow,Cornwall and Isles of Scilly,England,UK,Over10m,Monks or Anglers,Demersal,0.0815,0.0271,0.26507,
2,Padstow,Cornwall and Isles of Scilly,England,UK,Over10m,Mullet,Demersal,0.0042,0.0042,0.05237,
2,Padstow,Cornwall and Isles of Scilly,England,UK,Over10m,Other Demersal,Demersal,0.3462,0.3324,0.0949,
2,Padstow,Cornwall and Isles of Scilly,England,UK,Over10m,Other Shellfish,Shellfish,0.0142,0.0142,0.03081,
2,Padstow,Cornwall and Isles of Scilly,England,UK,Over10m,Plaice,Demersal,0.448,0.4266,0.70866,
2,Padstow,Cornwall and Isles of Scilly,England,UK,Over10m,Pollack (Lythe),Demersal,0.0374,0.032,0.09467,
2,Padstow,Cornwall and Isles of Scilly,England,UK,Over10m,Scallops,Shellfish,2.5507,2.5507,4.59155,
2,Padstow,Cornwall and Isles of Scilly,England,UK,Over10m,Skates and Rays,Demersal,0.3121,0.1574,0.36539,
2,Padstow,Cornwall and Isles of Scilly,England,UK,Over10m,Sole,Demersal,2.9567,2.8428,34.89193,
2,Padstow,Cornwall and Isles of Scilly,England,UK,Over10m,Squid,Shellfish,0.0023,0.0023,0.02374,
2,Padstow,Cornwall and Isles of Scilly,England,UK,Over10m,Turbot,Demersal,0.0307,0.0283,0.31923,
2,Padstow,Cornwall and Isles of Scilly,England,UK,Over10m,Whiting,Demersal,0.054,0.0459,0.03175,
2,Paignton,Devon,England,UK,10m&Under,Crabs,Shellfish,0.344,0.344,1.00105,
2,Paignton,Devon,England,UK,10m&Under,Lobsters,Shellfish,0.071,0.071,1.336,
